id;payment_uid;payment_date;amount;time_stamp
1;2212773e-dc77-43dd-94d6-115136810e3e;2024-12-12;20975.12;2024-12-12T20:05:13
2;4936fe34-d2c9-4a04-836a-61a7c69cc1a7;2024-12-12;9226.14;2024-12-13T12:25:50
3;fe5d6e48-0a2a-4406-8076-9ed6b4b7fcc9;2024-12-13;4719.25;2024-12-12T22:54:03
4;06c1d660-e248-40d6-a854-9d072965b467;2024-12-12;14412;2024-12-13T10:58:26
5;20df896d-cd49-4998-b0d9-d37980427bc9;2024-12-12;12485.22;2024-12-13T07:31:13
6;8269c264-3330-48b8-93ab-822acfc33739;2024-12-13;27951.24;2024-12-12T16:46:55
7;1e6e0cfe-a5c9-4fba-aef0-12e39742c00b;2024-12-13;369.95;2024-12-13T05:36:49
8;416cc344-7c2b-4afb-af25-79992888bdba;2024-12-13;18255.05;2024-12-13T15:23:02
9;ade2e241-3752-400b-916a-ce9cf04a714b;2024-12-13;5432.64;2024-12-13T02:55:53
10;089348ea-d751-49cc-9447-d2c56208b374;2024-12-12;21065.8;2024-12-13T06:57:57
