id;product_uid;contract_number;start_date;end_date;summary;product_type
1;ad58fc75-6f7b-41cd-81ce-ef8e03da7fb4;aussitôt que hé;2024-12-13;2024-12-12;cadre sur;VIRTUAL
2;c12c88b0-6f9a-4deb-8a45-ccd595a87a68;juriste assez;2024-12-13;2024-12-13;tchou tchouu drelin gens;VIRTUAL
3;6dd7cd98-9e80-459e-bf02-e7b63852eb9c;d’autant que vendre traduire;2024-12-13;2024-12-12;à raison de;REAL
4;55472abb-0dd0-4e75-bb13-884f88a46b86;sage découper à côté de;2024-12-12;2024-12-12;tout à fait ouille chef de cuisine;REAL
5;d2cf16dd-275c-41ba-a539-8b774c130432;boum patientèle;2024-12-12;2024-12-12;innombrable;REAL
6;59f4cbdc-3951-46ff-aa19-62347d0c4989;décoller du fait que;2024-12-12;2024-12-13;avex;VIRTUAL
7;d533bb64-3b7b-412d-a58e-b60f284cf86f;prout;2024-12-12;2024-12-12;timide filer ouille;VIRTUAL
8;30e64482-a4c1-4248-aae4-216c881e40fc;habiter charitable;2024-12-13;2024-12-13;super;VIRTUAL
9;fd5cd8e6-6476-4d3b-83d9-7867e3b0f8f4;souffrir frémir;2024-12-13;2024-12-13;hé en vérité de sorte que;REAL
10;7aa2a832-57e3-4f51-9126-172f7536cbc6;concernant souhaiter trop;2024-12-12;2024-12-13;rocher jeune enfant égoïste;VIRTUAL
